Animal ID,Name,Outcome Date,Outcome Time,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A634176,Daisy,05/17/15,2:33PM,Return to Owner,,Dog,Spayed Female,4 years,Labrador Retriever/Beagle,Tan/White
A688790,Yogi,05/17/15,2:42PM,Return to Owner,,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
A702747,,05/17/15,2:55PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
A702751,,05/17/15,2:55PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Medium Hair Mix,Black
A702746,,05/17/15,2:55PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
A702749,,05/17/15,2:55PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
A702748,,05/17/15,2:55PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
A702752,,05/17/15,2:56PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A702750,,05/17/15,2:56PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Orange Tabby
A702636,,05/17/15,3:06PM,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese,Seal Point
A702634,Hillery,05/17/15,3:06PM,Transfer,Partner,Cat,Intact Female,3 weeks,Siamese,Seal Point
A702635,,05/17/15,3:06PM,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese,Seal Point
A702638,Daytona,05/17/15,3:07PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black/White
A702637,Dallas,05/17/15,3:07PM,Transfer,Partner,Cat,Intact Male,3 weeks,Siamese,Seal Point
A700248,Ruby,05/17/15,3:13PM,Adoption,,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White
A687895,Abby,05/17/15,3:23PM,Adoption,,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Brown/White
A701881,Boots,05/17/15,3:34PM,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
A702764,,05/17/15,4:02PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A702766,,05/17/15,4:02PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie
A702761,,05/17/15,4:02PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black
A702763,,05/17/15,4:02PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A702765,,05/17/15,4:02PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue Tabby
A702762,,05/17/15,4:02PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A702427,,05/17/15,4:12PM,Transfer,Partner,Dog,Spayed Female,5 months,Great Pyrenees Mix,White
A482683,Tator,05/17/15,4:14PM,Return to Owner,,Dog,Spayed Female,15 years,Labrador Retriever,Yellow
A702775,,05/17/15,4:21PM,Euthanasia,Suffering,Cat,Intact Male,10 years,Domestic Shorthair Mix,White
A701709,Skyler,05/17/15,4:26PM,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black/White
A701857,Rita,05/17/15,4:48PM,Transfer,Partner,Dog,Spayed Female,10 years,German Shepherd Mix,Brown/Black
A701910,Maia,05/17/15,4:50PM,Euthanasia,Behavior,Dog,Spayed Female,1 year,American Staffordshire Terrier Mix,Blue/White
A702450,Jamie,05/17/15,4:51PM,Return to Owner,,Dog,Spayed Female,1 year,Black Mouth Cur Mix,Tan/White
A562221,Silver,05/17/15,5:06PM,Euthanasia,Aggressive,Dog,Spayed Female,6 years,Pit Bull Mix,Fawn/White
A702372,Tank,05/17/15,5:27PM,Return to Owner,,Dog,Intact Male,1 year,Pit Bull Mix,White/Blue
A700923,Lucy,05/17/15,5:28PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair,Black/Brown
A702272,Mia,05/17/15,5:31PM,Adoption,,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/White
A702607,Maxie,05/17/15,5:36PM,Return to Owner,,Dog,Neutered Male,2 months,Black/Tan Hound Mix,Black/Tan
A627967,Demon Dansby,05/17/15,5:37PM,Return to Owner,,Dog,Neutered Male,4 years,Pit Bull Mix,Tan/White
A702522,Beast,05/17/15,5:38PM,Euthanasia,Suffering,Dog,Intact Male,1 year,Pit Bull Mix,Black Brindle/White
A702224,*Peter,05/17/15,5:49PM,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Cream Tabby
A702400,Charlie,05/17/15,5:52PM,Adoption,,Dog,Neutered Male,5 months,Chihuahua Shorthair/Dachshund,Brown
A702779,,05/17/15,5:53PM,Euthanasia,Suffering,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue
A671644,Samson,05/17/15,5:54PM,Return to Owner,,Dog,Intact Male,8 years,Old English Bulldog Mix,Brown Brindle/White
A676456,Smokey,05/17/15,5:55PM,Adoption,,Dog,Spayed Female,2 years,American Staffordshire Terrier Mix,Black Brindle/White
A702578,River,05/17/15,6:10PM,Return to Owner,,Dog,Neutered Male,8 years,Australian Cattle Dog Mix,Black/White
A702478,,05/17/15,6:26PM,Transfer,Partner,Dog,Intact Female,4 months,Pit Bull Mix,Blue/White
A702217,,05/17/15,6:33PM,Adoption,,Dog,Spayed Female,2 months,German Shepherd/Catahoula,Black/Brown Brindle
A697788,*Kitty,05/17/15,6:42PM,Adoption,,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Brown Tabby/White
A702298,Ronnie,05/17/15,6:44PM,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White
A702769,,05/17/15,6:48PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
A702383,Zee,05/17/15,6:48PM,Return to Owner,,Dog,Neutered Male,1 year,German Shepherd/Anatol Shepherd,Brown/Black
A702767,,05/17/15,6:48PM,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A702768,,05/17/15,6:48PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A702451,*Annabelle,05/17/15,6:54PM,Adoption,,Dog,Spayed Female,1 year,Siberian Husky Mix,White
A702565,Bandit,05/17/15,7:03PM,Adoption,,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Black/White
A702756,,05/17/15,7:03PM,Euthanasia,Suffering,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,White/Brown Tabby
A702566,Angel,05/17/15,7:06PM,Adoption,,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Brown Tabby/White
A698023,Ricko,05/17/15,7:06PM,Return to Owner,,Dog,Neutered Male,11 months,Rhod Ridgeback Mix,Brown
A702528,Shadow,05/17/15,7:08PM,Return to Owner,,Dog,Neutered Male,3 years,Black Mouth Cur/German Shepherd,Sable
A700636,Zoey,05/17/15,7:19PM,Adoption,,Dog,Spayed Female,2 years,German Shepherd/Siberian Husky,Cream/Black
A702322,Lobo,05/17/15,7:26PM,Adoption,,Dog,Neutered Male,1 year,Siberian Husky Mix,White
A702733,,05/18/15,9:00AM,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Orange Tabby
A702732,,05/18/15,9:00AM,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Torbie
A702778,,05/18/15,9:52AM,Euthanasia,Rabies Risk,Other,Intact Female,1 year,Skunk,Black/White
A702780,,05/18/15,9:53AM,Euthanasia,Rabies Risk,Other,Unknown,2 weeks,Skunk,Black/White
A702724,Quennie,05/18/15,11:20AM,Return to Owner,,Dog,Spayed Female,16 years,Basenji Mix,Tan/White
A670497,Rock,05/18/15,11:33AM,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,White/Brown Brindle
A702431,,05/18/15,12:12PM,Transfer,Partner,Dog,Neutered Male,1 year,Doberman Pinsch Mix,Brown/Tan
A702790,Bentley,05/18/15,12:20PM,Return to Owner,,Dog,Intact Male,2 months,Chihuahua Shorthair Mix,Black/White
A515271,Mack Brown,05/18/15,12:31PM,Adoption,,Dog,Neutered Male,8 years,Vizsla/Labrador Retriever,Brown
A702424,*Josie,05/18/15,1:03PM,Transfer,Partner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Red/White
A702191,*Topper,05/18/15,1:05PM,Transfer,Partner,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tricolor
A702820,,05/18/15,1:06PM,Euthanasia,Suffering,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Blue Tabby/White
A702818,,05/18/15,1:07PM,Euthanasia,Suffering,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Blue Tabby/White
A702819,,05/18/15,1:07PM,Euthanasia,Suffering,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Blue Tabby/White
A702817,,05/18/15,1:07PM,Euthanasia,Suffering,Cat,Unknown,1 weeks,Domestic Shorthair Mix,Blue Tabby/White
A701831,*Bessy,05/18/15,1:31PM,Transfer,Partner,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
A701832,*Elsie,05/18/15,1:32PM,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,White/Blue
A701833,*Ethel,05/18/15,1:33PM,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,White/Black
A702814,,05/18/15,1:38PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
A696393,Princess,05/18/15,2:18PM,Return to Owner,,Dog,Spayed Female,10 years,German Shepherd,Brown
A702605,007,05/18/15,3:22PM,Return to Owner,,Dog,Neutered Male,4 years,Jack Russell Terrier Mix,Black/Brown
A702600,Mr. Hunter,05/18/15,3:47PM,Return to Owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black/White
A702350,*Ellie,05/18/15,3:51PM,Transfer,Partner,Dog,Spayed Female,4 months,Border Collie Mix,Black/White
A338231,Boots,05/18/15,4:09PM,Return to Owner,,Dog,Neutered Male,13 years,Border Collie Mix,Black/White
A702737,Baylee,05/18/15,4:39PM,Transfer,Partner,Cat,Intact Male,4 weeks,Snowshoe Mix,Blue Point/White
A702735,Spartacus,05/18/15,4:41PM,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby/White
A702734,Pearl,05/18/15,4:41PM,Transfer,Partner,Cat,Intact Female,4 weeks,Siamese Mix,Lilac Point
A702345,*Gracie,05/18/15,5:01PM,Transfer,Partner,Dog,Intact Female,3 months,Border Collie Mix,Black
A696431,*Alice,05/18/15,5:04PM,Transfer,Partner,Dog,Spayed Female,3 years,Pit Bull Mix,White/Blue
A700939,*Treble,05/18/15,5:06PM,Transfer,Partner,Dog,Neutered Male,4 months,Pit Bull Mix,Black/White
A702876,,05/18/15,5:23PM,Euthanasia,Suffering,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby
A702237,Liam,05/18/15,5:29PM,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
A696501,Flaco,05/18/15,5:34PM,Transfer,Partner,Dog,Neutered Male,4 years,Pit Bull Mix,Red/White
A702412,Uschi,05/18/15,5:36PM,Adoption,,Dog,Spayed Female,11 months,German Shepherd Mix,Black/Brown
A702497,Roxie,05/18/15,6:11PM,Adoption,,Dog,Spayed Female,3 months,Dachshund Longhair/Miniature Schnauzer,Silver/White
A702496,Murphy,05/18/15,6:22PM,Adoption,,Dog,Neutered Male,8 months,Basset Hound Mix,Black/White
A701123,Clyde,05/18/15,6:25PM,Adoption,,Dog,Neutered Male,2 years,Whippet Mix,Tricolor
A702498,Taco,05/18/15,6:37PM,Adoption,,Dog,Neutered Male,3 months,Dachshund Longhair/Miniature Schnauzer,Red/White
A701958,*Layla,05/18/15,6:39PM,Adoption,Foster,Dog,Spayed Female,2 years,Standard Schnauzer Mix,Black
A699505,Chico,05/18/15,6:40PM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan
A702501,Phat Phat,05/18/15,6:44PM,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull/Boxer,Tan/White
A698737,*Heidi,05/18/15,7:07PM,Adoption,,Dog,Spayed Female,7 years,Australian Cattle Dog Mix,Black/Tan
A702284,,05/18/15,7:17PM,Adoption,,Dog,Spayed Female,2 years,Shih Tzu Mix,Black/White
A699952,*Benny,05/18/15,7:21PM,Adoption,,Dog,Neutered Male,3 years,American Bulldog,White
A697451,Clover,05/19/15,7:19AM,Adoption,Foster,Dog,Spayed Female,3 years,Miniature Schnauzer/Cairn Terrier,Gray/Black
A702831,,05/19/15,8:06AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A702832,,05/19/15,8:07AM,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown
A702894,Popeye,05/19/15,8:34AM,Euthanasia,Suffering,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Brown/White
A702863,,05/19/15,9:00AM,Transfer,SCRP,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
A702899,,05/19/15,9:49AM,Euthanasia,Rabies Risk,Other,Unknown,5 months,Bat Mix,Gray
A702888,,05/19/15,9:52AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Skunk,Black/White
A702900,,05/19/15,9:54AM,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown
A702873,,05/19/15,11:16AM,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
A702874,,05/19/15,11:17AM,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Brown Tabby
A702875,,05/19/15,11:17AM,Transfer,Partner,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Blue Tabby
A702791,Minnie,05/19/15,12:07PM,Return to Owner,,Dog,Intact Female,3 years,Toy Poodle Mix,White
A702606,Latte,05/19/15,12:07PM,Adoption,,Dog,Neutered Male,1 year,Chihuahua Shorthair/Rat Terrier,Brown
A702883,Bubush,05/19/15,12:34PM,Euthanasia,Suffering,Cat,Neutered Male,18 years,Domestic Longhair Mix,White/Black
A702401,Blue,05/19/15,12:35PM,Return to Owner,,Dog,Intact Female,2 years,Australian Cattle Dog Mix,Blue Merle
A702443,,05/19/15,12:39PM,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A601403,Jw,05/19/15,1:14PM,Return to Owner,,Dog,Neutered Male,4 years,Pointer Mix,White/Red
A642590,Zoe,05/19/15,1:19PM,Adoption,,Dog,Spayed Female,3 years,Beagle Mix,Brown/White
A702771,Ginger,05/19/15,1:37PM,Return to Owner,,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Torbie
A701402,Jack,05/19/15,2:18PM,Transfer,Partner,Dog,Intact Male,6 years,Greyhound,Brown Brindle/White
A701401,Jill,05/19/15,2:18PM,Transfer,Partner,Dog,Intact Female,4 years,Greyhound,Tan/Black
A702903,,05/19/15,2:42PM,Transfer,Partner,Dog,Intact Female,4 months,Chihuahua Shorthair,White/Tan
A702945,,05/19/15,2:59PM,Euthanasia,Suffering,Cat,Unknown,2 days,Domestic Shorthair Mix,Black/White
A702080,*Violet,05/19/15,3:17PM,Transfer,Partner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A702142,*Sassy,05/19/15,3:17PM,Transfer,Partner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
A702918,,05/19/15,3:31PM,Euthanasia,Suffering,Cat,Intact Female,2 years,Domestic Shorthair Mix,White
A702906,,05/19/15,3:37PM,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby
A702909,,05/19/15,3:38PM,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
A702908,,05/19/15,3:38PM,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue
A702907,,05/19/15,3:38PM,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black
A702910,,05/19/15,3:38PM,Transfer,Partner,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
A700463,Atticus,05/19/15,3:49PM,Adoption,Foster,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black/White
A702931,Henry,05/19/15,3:56PM,Euthanasia,Suffering,Other,Unknown,2 years,Hamster Mix,White/Gray
A702848,Murphy,05/19/15,4:17PM,Return to Owner,,Dog,Spayed Female,5 years,Jack Russell Terrier Mix,White/Brown
A701665,Mystic,05/19/15,4:34PM,Transfer,Partner,Dog,Intact Female,4 years,Greyhound,Fawn
A701667,Atlas,05/19/15,4:34PM,Transfer,Partner,Dog,Intact Male,4 years,Greyhound,Black/White
A701664,Batman,05/19/15,4:34PM,Transfer,Partner,Dog,Intact Male,4 years,Greyhound,Brown Brindle/White
A701666,Zeppelin,05/19/15,4:34PM,Transfer,Partner,Dog,Intact Male,4 years,Greyhound,Black/White
A702964,,05/19/15,4:41PM,Euthanasia,Medical,Other,Unknown,2 years,Raccoon,Gray/Black
A697473,*Brook,05/19/15,4:46PM,Euthanasia,Suffering,Dog,Spayed Female,5 years,Pit Bull Mix,White/Brown Brindle
A702960,,05/19/15,5:00PM,Euthanasia,Suffering,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
A699938,Dorito,05/19/15,5:07PM,Return to Owner,,Dog,Neutered Male,2 years,Norfolk Terrier Mix,Tan
A702570,,05/19/15,5:30PM,Adoption,,Dog,Neutered Male,6 months,Belgian Malinois,Brown/Black
A702574,Macie,05/19/15,5:33PM,Adoption,,Dog,Spayed Female,5 months,Labrador Retriever Mix,Brown/White
A702829,Pumkin,05/19/15,5:43PM,Adoption,,Dog,Spayed Female,1 month,Yorkshire Terrier Mix,Cream
A702456,Cookie,05/19/15,5:47PM,Adoption,,Dog,Spayed Female,2 months,Border Collie Mix,Black/White
A702946,,05/19/15,5:50PM,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Brown Tabby/White
A702948,,05/19/15,5:50PM,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Brown Tabby
A702950,,05/19/15,5:50PM,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair Mix,Gray/White
A702935,Layla,05/19/15,6:06PM,Return to Owner,,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,White/Tan
A702828,Polar Bear,05/19/15,6:07PM,Adoption,,Dog,Neutered Male,1 month,Yorkshire Terrier Mix,White
A702388,Blaise,05/19/15,6:22PM,Return to Owner,,Dog,Neutered Male,2 years,Silky Terrier Mix,Brown/White
A701306,Minnie,05/19/15,6:29PM,Adoption,,Dog,Spayed Female,2 years,Beagle/Chihuahua Shorthair,White/Brown Brindle
A702981,,05/19/15,6:47PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue/White
A702982,,05/19/15,6:48PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
A702980,,05/19/15,6:48PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Medium Hair Mix,Brown Tabby
A702983,,05/19/15,6:48PM,Transfer,Partner,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White
A702973,,05/19/15,6:49PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
A702974,,05/19/15,6:49PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue/White
A702975,,05/19/15,6:50PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue/White
A701880,Peaches,05/19/15,6:52PM,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby/White
A702568,Maypearl,05/19/15,7:03PM,Adoption,,Dog,Spayed Female,5 years,Dachshund Mix,Brown
A702625,Delilah,05/20/15,12:00AM,Transfer,Partner,Dog,Intact Female,1 month,Great Pyrenees,White
A692189,,05/20/15,9:00AM,Transfer,SCRP,Cat,Spayed Female,6 years,Domestic Medium Hair,Orange Tabby
A702902,,05/20/15,9:00AM,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
A702963,,05/20/15,9:00AM,Transfer,SCRP,Cat,Unknown,2 years,Domestic Shorthair Mix,Blue Tabby/White
A702984,,05/20/15,9:00AM,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black
A702940,,05/20/15,9:00AM,Transfer,SCRP,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Blue/White
A702938,,05/20/15,9:00AM,Transfer,SCRP,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue/White
A701846,Miss Fish,05/20/15,11:09AM,Return to Owner,,Dog,Spayed Female,9 years,Labrador Retriever Mix,White/Black
A701771,*Stella,05/20/15,11:22AM,Transfer,Partner,Cat,Spayed Female,2 years,Siamese/Domestic Shorthair,Lynx Point
A702086,Cane,05/20/15,11:38AM,Transfer,Partner,Dog,Intact Male,3 years,Chinese Sharpei/American Bulldog,White
A702993,Chiquis,05/20/15,11:43AM,Euthanasia,Suffering,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
A702859,,05/20/15,11:56AM,Transfer,Partner,Dog,Intact Female,1 year,Shih Tzu Mix,Cream
A702861,,05/20/15,11:56AM,Transfer,Partner,Dog,Intact Female,2 years,Lhasa Apso Mix,Cream
A702862,,05/20/15,11:56AM,Transfer,Partner,Dog,Spayed Female,2 years,Lhasa Apso Mix,Tan/Black
A702741,Sojo,05/20/15,11:57AM,Transfer,Partner,Dog,Intact Female,2 years,Labrador Retriever/Pit Bull,Chocolate/White
A702782,,05/20/15,11:57AM,Transfer,Partner,Dog,Intact Male,1 year,Lhasa Apso/Pbgv,Black/Tan
A695645,*Rudy,05/20/15,12:16PM,Adoption,Foster,Dog,Neutered Male,1 year,Chinese Sharpei,Brown
A342480,Lucy,05/20/15,12:25PM,Return to Owner,,Dog,Spayed Female,14 years,Labrador Retriever Mix,Red/Tan
A702825,Benny,05/20/15,12:37PM,Return to Owner,,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Black
A702102,*Yogi Bear,05/20/15,12:46PM,Adoption,,Dog,Neutered Male,1 year,American Pit Bull Terrier Mix,Black/Yellow Brindle
A702642,Trigger,05/20/15,1:08PM,Return to Owner,,Dog,Neutered Male,8 years,Blue Lacy/Pit Bull,Blue/White
A697100,Lex,05/20/15,1:10PM,Transfer,Partner,Dog,Spayed Female,2 years,Pit Bull Mix,Black
A702776,Terry,05/20/15,1:14PM,Return to Owner,,Dog,Spayed Female,14 years,Toy Fox Terrier Mix,Black/White
A670800,Dragon,05/20/15,1:28PM,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Brown Brindle/White
A623219,Bear,05/20/15,1:28PM,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull Mix,Blue Tiger/White
A695686,Freckles,05/20/15,1:46PM,Return to Owner,,Dog,Spayed Female,1 year,Dalmatian Mix,White/Black
A702593,,05/20/15,1:54PM,Transfer,Partner,Dog,Intact Female,2 years,Queensland Heeler Mix,Brown/White
A703091,,05/20/15,2:09PM,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black/White
A703092,,05/20/15,2:09PM,Transfer,Partner,Cat,Unknown,3 days,Domestic Shorthair Mix,Black Tabby/White
A703078,,05/20/15,2:10PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue
A703080,,05/20/15,2:10PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue/White
A703082,,05/20/15,2:10PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A703081,,05/20/15,2:10PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A703079,,05/20/15,2:10PM,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue
A618687,Buddy,05/20/15,2:13PM,Euthanasia,Suffering,Dog,Neutered Male,12 years,Rottweiler/Chow Chow,Black/Tan
A702827,Sasha,05/20/15,2:40PM,Adoption,,Dog,Spayed Female,2 years,Yorkshire Terrier Mix,Brown
A702238,*Figaro,05/20/15,4:10PM,Adoption,,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
A703102,,05/20/15,4:15PM,Euthanasia,Suffering,Cat,Unknown,4 weeks,Domestic Shorthair Mix,Blue
A703769,Loki,05/20/15,4:17PM,Return to Owner,,Dog,Intact Male,1 year,German Shepherd Mix,Tricolor
A703773,Stella,05/20/15,4:17PM,Return to Owner,,Dog,Spayed Female,11 months,German Shepherd Mix,Tricolor
A703075,,05/20/15,4:24PM,Euthanasia,Suffering,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black/White
A702695,Caney,05/20/15,4:57PM,Return to Owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Red/Black
A702633,,05/20/15,5:04PM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A531699,Precious,05/20/15,5:07PM,Transfer,Partner,Dog,Spayed Female,7 years,Toy Poodle/Cocker Spaniel,Brown/Black
A531698,Princess,05/20/15,5:07PM,Transfer,Partner,Dog,Spayed Female,11 years,Toy Poodle Mix,White
A703094,,05/20/15,5:09PM,Euthanasia,Suffering,Dog,Intact Male,8 years,Chow Chow Mix,Brown/Black
A702882,Shadow,05/20/15,5:09PM,Return to Owner,,Dog,Spayed Female,1 year,Basenji Mix,Tan/White
A702881,Vanillapie,05/20/15,5:09PM,Return to Owner,,Dog,Spayed Female,2 years,Basenji/Chow Chow,Tan
A702604,Peanut,05/20/15,5:19PM,Adoption,,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan
A701722,Jack,05/20/15,5:21PM,Adoption,,Dog,Neutered Male,8 months,Miniature Schnauzer Mix,Buff
A702592,Skylar,05/20/15,5:25PM,Adoption,,Dog,Spayed Female,1 year,Miniature Poodle Mix,White/Brown
A702632,,05/20/15,5:42PM,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White
A548276,Lillian,05/20/15,5:49PM,Return to Owner,,Dog,Spayed Female,8 years,Cocker Spaniel,Buff
A659644,Jodi,05/20/15,6:18PM,Return to Owner,,Dog,Spayed Female,3 years,Pit Bull Mix,Brown/White
A702630,*Swirly Girl,05/20/15,6:33PM,Euthanasia,Suffering,Cat,Intact Female,4 months,Domestic Shorthair Mix,Tortie
A702726,Mulder,05/20/15,6:50PM,Return to Owner,,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black
A701308,*Ponyboy,05/20/15,6:54PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A701309,*Dally,05/20/15,6:57PM,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue
A701901,Sasha,05/20/15,6:58PM,Return to Owner,,Dog,Spayed Female,1 year,Pit Bull Mix,Blue
A703117,,05/20/15,6:59PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
A703119,,05/20/15,6:59PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Black/White
A703118,,05/20/15,6:59PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A703100,,05/20/15,6:59PM,Transfer,Partner,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Tortie
